"day","hour","value"
1,1,2.70985706377359
2,1,2.78554775403846
3,1,2.75673541083333
4,1,2.75067971076923
5,1,2.76578969711538
6,1,2.75511806711538
7,1,2.71035545018868
1,2,2.54733816584906
2,2,2.61468281846154
3,2,2.59004214794872
4,2,2.58093648826923
5,2,2.59523028269231
6,2,2.59825462826923
7,2,2.55155202792453
1,3,2.41674227773585
2,3,2.50736914115385
3,3,2.4839976225641
4,3,2.47404551980769
5,3,2.48685078076923
6,3,2.49143197211538
7,3,2.44466307226415
1,4,2.30721529339623
2,4,2.42383108384615
3,4,2.3991691850641
4,4,2.3910049475
5,4,2.40607738884615
6,4,2.4102404725
7,4,2.36422518415094
1,5,2.28580642396226
2,5,2.39525170019231
3,5,2.36728980448718
4,5,2.35897660980769
5,5,2.38212701576923
6,5,2.3807754775
7,5,2.33023888735849
1,6,2.40120131849057
2,6,2.50829090961538
3,6,2.47404662929487
4,6,2.46536179365385
5,6,2.4976716625
6,6,2.4578731625
7,6,2.37498956962264
1,7,2.68665471226415
2,7,2.77481468403846
3,7,2.76142887794872
4,7,2.74164077576923
5,7,2.79281553076923
6,7,2.67621825826923
7,7,2.51011688962264
1,8,2.85464392509434
2,8,2.92583775730769
3,8,2.92898782179487
4,8,2.89337498269231
5,8,2.96732194846154
6,8,2.86113177692308
7,8,2.70130131509434
1,9,2.97420035056604
2,9,3.02401940019231
3,9,3.03205362814103
4,9,2.99769044423077
5,9,3.08405666538462
6,9,2.97407505788462
7,9,2.84322270320755
1,10,3.22316566924528
2,10,3.22222381846154
3,10,3.24339849083333
4,10,3.22375411134615
5,10,3.31467945019231
6,10,3.16066860076923
7,10,2.97388101867925
1,11,3.43273731830189
2,11,3.40630344980769
3,11,3.41682139025641
4,11,3.42086555442308
5,11,3.51537235846154
6,11,3.32539397326923
7,11,3.10296013301887
1,12,3.45608695528302
2,12,3.44174796096154
3,12,3.42737573660256
4,12,3.44508964723077
5,12,3.54777125769231
6,12,3.33875723076923
7,12,3.13866804622642
1,13,3.42189808490566
2,13,3.41151988134615
3,13,3.39191142237179
4,13,3.412343108
5,13,3.50118503807692
6,13,3.30412555423077
7,13,3.10855323830189
1,14,3.28359148641509
2,14,3.21123392557692
3,14,3.26047585160256
4,14,3.27742695523077
5,14,3.33047432076923
6,14,3.15476324557692
7,14,2.97119549830189
1,15,3.37431030113208
2,15,3.30938275923077
3,15,3.35393244641026
4,15,3.379636048
5,15,3.43752972326923
6,15,3.20602123115385
7,15,2.99110202320755
1,16,3.39088418132075
2,16,3.31916782557692
3,16,3.36286558487179
4,16,3.39991297473077
5,16,3.46740629673077
6,16,3.21316665884615
7,16,2.97132880981132
1,17,3.36863664584906
2,17,3.31197763211538
3,17,3.33062455025641
4,17,3.38149947903846
5,17,3.42303287288462
6,17,3.19174837634615
7,17,2.9434302009434
1,18,3.38203654207547
2,18,3.31988898057692
3,18,3.34438510141026
4,18,3.40561552830769
5,18,3.42362086711538
6,18,3.19890403173077
7,18,2.97673645584906
1,19,3.45358506641509
2,19,3.43459723115385
3,19,3.42439430660256
4,19,3.48386598742308
5,19,3.4689038825
6,19,3.30996892846154
7,19,3.1077912454717
1,20,3.48700621886792
2,20,3.47107766730769
3,20,3.47350778660256
4,20,3.51630505057692
5,20,3.51158120153846
6,20,3.37832701730769
7,20,3.21750866245283
1,21,3.40227703660377
2,21,3.38399945730769
3,21,3.37992303814103
4,21,3.41838259711538
5,21,3.39777553173077
6,21,3.29628976461538
7,21,3.20821448981132
1,22,3.28061807716981
2,22,3.26083088884615
3,22,3.25489574794872
4,22,3.27513970942308
5,22,3.24907828961538
6,22,3.15170019019231
7,22,3.12803937433962
1,23,3.20393098188679
2,23,3.18949478673077
3,23,3.17615188717949
4,23,3.18852272384615
5,23,3.16797879884615
6,23,3.07418922461538
7,23,3.07793789943396
1,24,3.00329980792453
2,24,2.99227219961538
3,24,2.98912476967949
4,24,3.00065514730769
5,24,2.9826180525
6,24,2.92508306230769
7,24,2.9224118309434
