"","Average Energy Consumption in MUs in fall from BRPL"
"00:00 - 00:15",880.397253387273
"00:15 - 00:30",860.131794808038
"00:30 - 00:45",843.632513933721
"00:45 - 01:00",828.190841693284
"01:00 - 01:15",814.272863332628
"01:15 - 01:30",803.183547376344
"01:30 - 01:45",794.350747922792
"01:45 - 02:00",786.665552075798
"02:00 - 02:15",779.919715573065
"02:15 - 02:30",773.367024425524
"02:30 - 02:45",767.745949671426
"02:45 - 03:00",763.410457977437
"03:00 - 03:15",760.025871201481
"03:15 - 03:30",756.873449015688
"03:30 - 03:45",755.625963551207
"03:45 - 04:00",756.501472075798
"04:00 - 04:15",762.26860846924
"04:15 - 04:30",767.803961802573
"04:30 - 04:45",776.16092857853
"04:45 - 05:00",789.261192950114
"05:00 - 05:15",813.494073824431
"05:15 - 05:30",839.191790327164
"05:30 - 05:45",872.8948141523
"05:45 - 06:00",911.116487376344
"06:00 - 06:15",957.378845081262
"06:15 - 06:30",992.19022289547
"06:30 - 06:45",1019.73375437088
"06:45 - 07:00",1039.54623295011
"07:00 - 07:15",1053.45917065503
"07:15 - 07:30",1056.01945087361
"07:30 - 07:45",1054.0564193982
"07:45 - 08:00",1052.86351327798
"08:00 - 08:15",1055.20120650203
"08:15 - 08:30",1060.34050923427
"08:30 - 08:45",1066.7399793982
"08:45 - 09:00",1074.75876322334
"09:00 - 09:15",1087.47398038181
"09:15 - 09:30",1105.10954453481
"09:30 - 09:45",1120.52865316869
"09:45 - 10:00",1133.41635710312
"10:00 - 10:15",1141.52969021787
"10:15 - 10:30",1145.49635535449
"10:30 - 10:45",1146.62961032716
"10:45 - 11:00",1141.48914070968
"11:00 - 11:15",1137.77205874246
"11:15 - 11:30",1134.19106398837
"11:30 - 11:45",1129.86458213044
"11:45 - 12:00",1125.78729688454
"12:00 - 12:15",1119.98231480804
"12:15 - 12:30",1113.8157404911
"12:30 - 12:45",1106.04797786815
"12:45 - 13:00",1092.57279032716
"13:00 - 13:15",1064.94224497197
"13:15 - 13:30",1052.36309404301
"13:30 - 13:45",1054.24554289547
"13:45 - 14:00",1057.3179489064
"14:00 - 14:15",1061.96157830531
"14:15 - 14:30",1063.72203601022
"14:30 - 14:45",1065.07104387908
"14:45 - 15:00",1064.22446529984
"15:00 - 15:15",1062.15461557307
"15:15 - 15:30",1056.81315393372
"15:30 - 15:45",1053.41232070968
"15:45 - 16:00",1053.63729754028
"16:00 - 16:15",1056.92578672061
"16:15 - 16:30",1058.7791078135
"16:30 - 16:45",1063.4939352452
"16:45 - 17:00",1075.00725043645
"17:00 - 17:15",1092.9114636605
"17:15 - 17:30",1113.20081021787
"17:30 - 17:45",1153.10421327798
"17:45 - 18:00",1202.77458814137
"18:00 - 18:15",1250.09347502662
"18:15 - 18:30",1271.88911262225
"18:30 - 18:45",1279.67595174793
"18:45 - 19:00",1281.33937502662
"19:00 - 19:15",1274.55777284083
"19:15 - 19:30",1264.51707972607
"19:30 - 19:45",1253.298525737
"19:45 - 20:00",1241.19827316869
"20:00 - 20:15",1221.81935677525
"20:15 - 20:30",1206.80930672061
"20:30 - 20:45",1191.20696595558
"20:45 - 21:00",1174.14262344192
"21:00 - 21:15",1146.21566311405
"21:15 - 21:30",1128.47153633809
"21:30 - 21:45",1111.79002617416
"21:45 - 22:00",1093.76949163864
"22:00 - 22:15",1066.65065513591
"22:15 - 22:30",1047.81061754028
"22:30 - 22:45",1026.6319130594
"22:45 - 23:00",1002.99811087361
"23:00 - 23:15",973.16853426159
"23:15 - 23:30",946.158118414595
"23:30 - 23:45",920.403331638639
"23:45 - 24:00",896.940850873612
"TOTAL IN Mus",24.6295253164585
