"","Average Energy Consumption in MUs in winter from BRPL"
"00:00 - 00:15",672.569249261306
"00:15 - 00:30",647.225979290461
"00:30 - 00:45",626.71298477151
"00:45 - 01:00",610.094405996
"01:00 - 01:15",595.967504654892
"01:15 - 01:30",585.101345704455
"01:30 - 01:45",577.301625121364
"01:45 - 02:00",570.643807745271
"02:00 - 02:15",565.384061506204
"02:15 - 02:30",560.608756433318
"02:30 - 02:45",557.343802847312
"02:45 - 03:00",555.16144238084
"03:00 - 03:15",555.447408678216
"03:15 - 03:30",555.438779873551
"03:30 - 03:45",558.037351535359
"03:45 - 04:00",563.065318182589
"04:00 - 04:15",575.378359698624
"04:15 - 04:30",586.848758998915
"04:30 - 04:45",603.178613342939
"04:45 - 05:00",627.271391068886
"05:00 - 05:15",669.653352934775
"05:15 - 05:30",713.686632235067
"05:30 - 05:45",768.845704654892
"05:45 - 06:00",832.369456958099
"06:00 - 06:15",913.716032701539
"06:15 - 06:30",985.982214742356
"06:30 - 06:45",1050.72003060241
"06:45 - 07:00",1108.86305905722
"07:00 - 07:15",1165.96853378659
"07:15 - 07:30",1204.47508072536
"07:30 - 07:45",1228.74371011312
"07:45 - 08:00",1247.39992842216
"08:00 - 08:15",1261.98216716218
"08:15 - 08:30",1270.97184541291
"08:30 - 08:45",1273.46183480066
"08:45 - 09:00",1276.14538302224
"09:00 - 09:15",1277.96513194352
"09:15 - 09:30",1283.89566978609
"09:30 - 09:45",1289.14603200183
"09:45 - 10:00",1290.02680692894
"10:00 - 10:15",1285.35059398434
"10:15 - 10:30",1276.92643620008
"10:30 - 10:45",1264.44383995518
"10:45 - 11:00",1249.61297161699
"11:00 - 11:15",1229.36647622341
"11:15 - 11:30",1212.25514139775
"11:30 - 11:45",1193.94109614994
"11:45 - 12:00",1174.82453370096
"12:00 - 12:15",1150.62260049979
"12:15 - 12:30",1130.37062872136
"12:30 - 12:45",1111.91907688463
"12:45 - 13:00",1088.04649717617
"13:00 - 13:15",1047.02945134527
"13:15 - 13:30",1022.74283198667
"13:30 - 13:45",1015.34951746772
"13:45 - 14:00",1011.27446405664
"14:00 - 14:15",1006.94721041233
"14:15 - 14:30",1002.00899501874
"14:30 - 14:45",996.583921098041
"14:45 - 15:00",990.438199232152
"15:00 - 15:15",985.760349086379
"15:15 - 15:30",977.00975748288
"15:30 - 15:45",972.040813459557
"15:45 - 16:00",970.293729961014
"16:00 - 16:15",973.627672818157
"16:15 - 16:30",979.477614509119
"16:30 - 16:45",989.865957599499
"16:45 - 17:00",1004.36353392603
"17:00 - 17:15",1027.99700063157
"17:15 - 17:30",1052.07311305139
"17:30 - 17:45",1084.95534780358
"17:45 - 18:00",1126.79383025256
"18:00 - 18:15",1167.88360436335
"18:15 - 18:30",1202.11056751204
"18:30 - 18:45",1225.71387748288
"18:45 - 19:00",1237.88156482982
"19:00 - 19:15",1238.85849707472
"19:15 - 19:30",1233.78360949454
"19:30 - 19:45",1224.44920366364
"19:45 - 20:00",1211.85702115635
"20:00 - 20:15",1191.77766966947
"20:15 - 20:30",1178.89604156451
"20:30 - 20:45",1161.05870512136
"20:45 - 21:00",1140.54882908638
"21:00 - 21:15",1106.16375153536
"21:15 - 21:30",1083.62475794935
"21:30 - 21:45",1058.46302442166
"21:45 - 22:00",1028.96628319717
"22:00 - 22:15",982.145493926029
"22:15 - 22:30",946.135074217574
"22:30 - 22:45",908.46980844498
"22:45 - 23:00",869.427688911452
"23:00 - 23:15",822.075372293376
"23:15 - 23:30",781.096048794834
"23:30 - 23:45",742.566818007662
"23:45 - 24:00",708.147375442064
"TOTAL IN Mus",23.4798033617386
