"","Average Energy Supply in mWs in monsoon from BYPL"
"00:00 - 00:15",888.709996284376
"00:15 - 00:30",877.462131501768
"00:30 - 00:45",866.746247009014
"00:45 - 01:00",854.352799037999
"01:00 - 01:15",839.491938023507
"01:15 - 01:30",829.046175269884
"01:30 - 01:45",819.382344110463
"01:45 - 02:00",810.439504110463
"02:00 - 02:15",800.539492226405
"02:15 - 02:30",791.795433820608
"02:30 - 02:45",781.755266864086
"02:45 - 03:00",774.036695704666
"03:00 - 03:15",766.636513965536
"03:15 - 03:30",759.641511646695
"03:30 - 03:45",753.011718168434
"03:45 - 04:00",745.786069762637
"04:00 - 04:15",737.249616719159
"04:15 - 04:30",728.792847443797
"04:30 - 04:45",722.900698168434
"04:45 - 05:00",718.072254110463
"05:00 - 05:15",715.917296139449
"05:15 - 05:30",713.138487443797
"05:30 - 05:45",713.447145704666
"05:45 - 06:00",715.865171066985
"06:00 - 06:15",726.338693820608
"06:15 - 06:30",734.526904545246
"06:30 - 06:45",741.627633240898
"06:45 - 07:00",744.442544835101
"07:00 - 07:15",745.120494400318
"07:15 - 07:30",743.043572371333
"07:30 - 07:45",742.808663530753
"07:45 - 08:00",743.935680922057
"08:00 - 08:15",746.461959907565
"08:15 - 08:30",748.382808603217
"08:30 - 08:45",751.020343530753
"08:45 - 09:00",754.611993965536
"09:00 - 09:15",763.538712806115
"09:15 - 09:30",780.236192951043
"09:30 - 09:45",797.125317878579
"09:45 - 10:00",812.019773820608
"10:00 - 10:15",828.857781066985
"10:15 - 10:30",840.713083530753
"10:30 - 10:45",852.623796139449
"10:45 - 11:00",862.409202081478
"11:00 - 11:15",871.360024400318
"11:15 - 11:30",877.402237009014
"11:30 - 11:45",883.169252661188
"11:45 - 12:00",888.693114835101
"12:00 - 12:15",892.356038168434
"12:15 - 12:30",893.225918168434
"12:30 - 12:45",894.011607733652
"12:45 - 13:00",892.882686748144
"13:00 - 13:15",882.531737530753
"13:15 - 13:30",878.895433327855
"13:30 - 13:45",881.738678487275
"13:45 - 14:00",892.346594081478
"14:00 - 14:15",902.669220893072
"14:15 - 14:30",910.263114255391
"14:30 - 14:45",919.203845965536
"14:45 - 15:00",925.303404458289
"15:00 - 15:15",930.780348139449
"15:15 - 15:30",929.178553037999
"15:30 - 15:45",930.083010574231
"15:45 - 16:00",927.574839472782
"16:00 - 16:15",927.705719153941
"16:15 - 16:30",926.417442603217
"16:30 - 16:45",926.317232806115
"16:45 - 17:00",925.595384110463
"17:00 - 17:15",924.223673298869
"17:15 - 17:30",920.527021559739
"17:30 - 17:45",918.208114545246
"17:45 - 18:00",918.425460922057
"18:00 - 18:15",918.847329037999
"18:15 - 18:30",920.312870487275
"18:30 - 18:45",924.342185559739
"18:45 - 19:00",932.215495124956
"19:00 - 19:15",937.33151019742
"19:15 - 19:30",944.459353385826
"19:30 - 19:45",949.703616284376
"19:45 - 20:00",952.357064835101
"20:00 - 20:15",947.150936719159
"20:15 - 20:30",942.090697588724
"20:30 - 20:45",936.796698023507
"20:45 - 21:00",931.085722661188
"21:00 - 21:15",922.120152226405
"21:15 - 21:30",923.367064255391
"21:30 - 21:45",928.866574980028
"21:45 - 22:00",935.312656284376
"22:00 - 22:15",936.242228168434
"22:15 - 22:30",943.193622081478
"22:30 - 22:45",947.539517298869
"22:45 - 23:00",947.74278193655
"23:00 - 23:15",939.624428168434
"23:15 - 23:30",932.959648458289
"23:30 - 23:45",923.989134690173
"23:45 - 24:00",910.446719472782
"TOTAL IN Mus",20.5008125562815
