"","Average Energy Supply in mWs in winter from MES"
"00:00 - 00:15",17.8279673469388
"00:15 - 00:30",17.4420239067055
"00:30 - 00:45",17.1729531195335
"00:45 - 01:00",16.9853653644315
"01:00 - 01:15",16.85416303207
"01:15 - 01:30",16.7323839067055
"01:30 - 01:45",16.6491952186589
"01:45 - 02:00",16.5847001749271
"02:00 - 02:15",16.5627567346939
"02:15 - 02:30",16.5339678134111
"02:30 - 02:45",16.5122611078717
"02:45 - 03:00",16.5281339941691
"03:00 - 03:15",16.6135835568513
"03:15 - 03:30",16.6528080466472
"03:30 - 03:45",16.7451972011662
"03:45 - 04:00",16.9621678134111
"04:00 - 04:15",17.4640662390671
"04:15 - 04:30",17.900663090379
"04:30 - 04:45",18.6268469970845
"04:45 - 05:00",19.7191304956268
"05:00 - 05:15",21.7845226822157
"05:15 - 05:30",23.7667774927114
"05:30 - 05:45",26.1310900291545
"05:45 - 06:00",28.4652499125364
"06:00 - 06:15",30.7310937609329
"06:15 - 06:30",32.4302064139942
"06:30 - 06:45",33.7212248396501
"06:45 - 07:00",34.7360174927114
"07:00 - 07:15",35.6075991836735
"07:15 - 07:30",35.9962668221574
"07:30 - 07:45",36.177499941691
"07:45 - 08:00",36.2909823906706
"08:00 - 08:15",36.1872198250729
"08:15 - 08:30",35.9313451895044
"08:30 - 08:45",35.7002819825073
"08:45 - 09:00",35.5725488046647
"09:00 - 09:15",35.218346122449
"09:15 - 09:30",34.7916142274052
"09:30 - 09:45",34.3522756851312
"09:45 - 10:00",33.9328256559767
"10:00 - 10:15",33.3765401749271
"10:15 - 10:30",32.8138927113703
"10:30 - 10:45",32.1285843731778
"10:45 - 11:00",31.3992703206997
"11:00 - 11:15",30.6376693877551
"11:15 - 11:30",30.1367778425656
"11:30 - 11:45",29.6118285714286
"11:45 - 12:00",29.1963475218659
"12:00 - 12:15",28.8271486880466
"12:15 - 12:30",28.425306122449
"12:30 - 12:45",27.9843381924198
"12:45 - 13:00",27.6388688046647
"13:00 - 13:15",27.1353935860058
"13:15 - 13:30",26.385749271137
"13:30 - 13:45",25.4038483965015
"13:45 - 14:00",24.6807463556851
"14:00 - 14:15",24.0222973760933
"14:15 - 14:30",23.4732944606414
"14:30 - 14:45",22.9296093294461
"14:45 - 15:00",22.396139941691
"15:00 - 15:15",22.0302973760933
"15:15 - 15:30",21.6528489795918
"15:30 - 15:45",21.526106122449
"15:45 - 16:00",21.5998029154519
"16:00 - 16:15",21.8878728862974
"16:15 - 16:30",22.1485760932945
"16:30 - 16:45",22.8271440233236
"16:45 - 17:00",23.7576209912536
"17:00 - 17:15",24.9110437317784
"17:15 - 17:30",26.0470927113703
"17:30 - 17:45",27.284549271137
"17:45 - 18:00",28.7186577259475
"18:00 - 18:15",30.0055113702624
"18:15 - 18:30",31.1151696793003
"18:30 - 18:45",31.9924816326531
"18:45 - 19:00",32.6285994169096
"19:00 - 19:15",32.933566180758
"19:15 - 19:30",33.126293877551
"19:30 - 19:45",33.2739206997085
"19:45 - 20:00",33.3528536443149
"20:00 - 20:15",33.1303510204082
"20:15 - 20:30",32.9241889212828
"20:30 - 20:45",32.4638367346939
"20:45 - 21:00",31.8741224489796
"21:00 - 21:15",30.8275195335277
"21:15 - 21:30",29.9413084548105
"21:30 - 21:45",28.8920069970845
"21:45 - 22:00",27.5873632653061
"22:00 - 22:15",25.7795976676385
"22:15 - 22:30",24.3795137026239
"22:30 - 22:45",23.0671335276968
"22:45 - 23:00",21.8205084548105
"23:00 - 23:15",20.5821516034985
"23:15 - 23:30",19.6680163265306
"23:30 - 23:45",18.9243125364431
"23:45 - 24:00",18.3580618075802
"TOTAL IN Mus",0.630559744344023
