"","Average Energy Consumption in MUs in fall from NDMC"
"00:00 - 00:15",94.7267787382793
"00:15 - 00:30",92.580091962323
"00:30 - 00:45",90.9544943666946
"00:45 - 01:00",89.5479037656017
"01:00 - 01:15",88.2122349131426
"01:15 - 01:30",86.9920760060388
"01:30 - 01:45",86.0426357874596
"01:45 - 02:00",85.2853037656017
"02:00 - 02:15",84.6508722901918
"02:15 - 02:30",84.0826781918312
"02:30 - 02:45",83.5405798311754
"02:45 - 03:00",83.1636786289896
"03:00 - 03:15",82.8777802683339
"03:15 - 03:30",82.6187671535798
"03:30 - 03:45",82.3309192847273
"03:45 - 04:00",82.1106755688804
"04:00 - 04:15",82.1701306508476
"04:15 - 04:30",82.1997804869131
"04:30 - 04:45",82.3736972082246
"04:45 - 05:00",82.8951227819951
"05:00 - 05:15",83.8739007054924
"05:15 - 05:30",85.166023109864
"05:30 - 05:45",86.5507505415579
"05:45 - 06:00",88.0705953503011
"06:00 - 06:15",89.9041584104104
"06:15 - 06:30",91.4513079186071
"06:30 - 06:45",92.9438869350006
"06:45 - 07:00",96.0442703229787
"07:00 - 07:15",99.6911072628694
"07:15 - 07:30",103.231323437733
"07:30 - 07:45",107.311205404946
"07:45 - 08:00",111.419127809318
"08:00 - 08:15",116.625600377624
"08:15 - 08:30",122.440180924072
"08:30 - 08:45",128.413663984181
"08:45 - 09:00",134.356407590738
"09:00 - 09:15",140.338449557951
"09:15 - 09:30",145.943019831175
"09:30 - 09:45",151.377473383088
"09:45 - 10:00",156.25888431205
"10:00 - 10:15",160.293818301121
"10:15 - 10:30",162.976442563416
"10:30 - 10:45",165.275827481449
"10:45 - 11:00",166.867139175438
"11:00 - 11:15",168.081919066148
"11:15 - 11:30",168.828305951394
"11:30 - 11:45",169.080477536093
"11:45 - 12:00",169.437794694563
"12:00 - 12:15",169.73787578746
"12:15 - 12:30",169.481381579809
"12:30 - 12:45",169.531721907678
"12:45 - 13:00",168.851138301121
"13:00 - 13:15",168.233594038826
"13:15 - 13:30",166.963239284727
"13:30 - 13:45",165.2672778349
"13:45 - 14:00",163.931874556212
"14:00 - 14:15",163.438623408671
"14:15 - 14:30",163.241073244736
"14:30 - 14:45",163.23286362725
"14:45 - 15:00",163.077968763862
"15:00 - 15:15",162.976770949654
"15:15 - 15:30",162.346683955119
"15:30 - 15:45",161.390086796649
"15:45 - 16:00",160.467538818507
"16:00 - 16:15",159.452005485174
"16:15 - 16:30",157.923235867687
"16:30 - 16:45",156.836198490638
"16:45 - 17:00",155.281146687359
"17:00 - 17:15",154.12183499337
"17:15 - 17:30",152.921935321239
"17:30 - 17:45",152.323220567141
"17:45 - 18:00",152.295244173698
"18:00 - 18:15",152.440728326704
"18:15 - 18:30",151.507653135447
"18:30 - 18:45",149.932276742004
"18:45 - 19:00",148.162049856758
"19:00 - 19:15",145.600631496102
"19:15 - 19:30",142.777079146376
"19:30 - 19:45",139.85945226113
"19:45 - 20:00",136.733221222878
"20:00 - 20:15",133.059896632714
"20:15 - 20:30",130.020861004299
"20:30 - 20:45",127.521150403206
"20:45 - 21:00",125.208605485174
"21:00 - 21:15",122.392399583534
"21:15 - 21:30",119.88344657807
"21:30 - 21:45",117.920992370419
"21:45 - 22:00",115.924651605392
"22:00 - 22:15",113.226458599928
"22:15 - 22:30",110.657024720146
"22:30 - 22:45",108.673301222878
"22:45 - 23:00",106.480484173698
"23:00 - 23:15",103.94654078572
"23:15 - 23:30",101.443955649108
"23:30 - 23:45",99.0599895288894
"23:45 - 24:00",96.6173578349003
"TOTAL IN Mus",3.03849600159934
