"","Average Energy Consumption in MUs in summer from NDMC"
"00:00 - 00:15",140.401146213592
"00:15 - 00:30",138.11989223301
"00:30 - 00:45",136.292328737864
"00:45 - 01:00",134.346326796117
"01:00 - 01:15",132.568620776699
"01:15 - 01:30",130.926666990291
"01:30 - 01:45",129.495402524272
"01:45 - 02:00",128.308893398058
"02:00 - 02:15",127.153073592233
"02:15 - 02:30",126.140291067961
"02:30 - 02:45",125.261265825243
"02:45 - 03:00",124.43161184466
"03:00 - 03:15",123.600514368932
"03:15 - 03:30",122.618250291262
"03:30 - 03:45",121.900201359223
"03:45 - 04:00",121.055861553398
"04:00 - 04:15",120.250273203883
"04:15 - 04:30",119.526508543689
"04:30 - 04:45",118.905641747573
"04:45 - 05:00",118.070682524272
"05:00 - 05:15",117.19150038835
"05:15 - 05:30",115.467171067961
"05:30 - 05:45",113.514371456311
"05:45 - 06:00",112.376700776699
"06:00 - 06:15",113.052821165049
"06:15 - 06:30",114.210045242718
"06:30 - 06:45",116.564766019417
"06:45 - 07:00",119.970198058252
"07:00 - 07:15",124.352968737864
"07:15 - 07:30",129.163704271845
"07:30 - 07:45",134.305529320388
"07:45 - 08:00",140.558741359223
"08:00 - 08:15",148.061633786408
"08:15 - 08:30",156.93757184466
"08:30 - 08:45",166.83619592233
"08:45 - 09:00",177.148730873786
"09:00 - 09:15",188.452497864078
"09:15 - 09:30",199.728559223301
"09:30 - 09:45",210.296083106796
"09:45 - 10:00",219.573530097087
"10:00 - 10:15",227.553442524272
"10:15 - 10:30",233.550203495146
"10:30 - 10:45",238.04229631068
"10:45 - 11:00",241.31524815534
"11:00 - 11:15",243.529540970874
"11:15 - 11:30",245.052606019417
"11:30 - 11:45",246.149212621359
"11:45 - 12:00",247.237604466019
"12:00 - 12:15",248.669434951456
"12:15 - 12:30",249.170139029126
"12:30 - 12:45",250.001045631068
"12:45 - 13:00",250.715895145631
"13:00 - 13:15",251.933399223301
"13:15 - 13:30",250.871114757282
"13:30 - 13:45",250.128170097087
"13:45 - 14:00",249.835689902913
"14:00 - 14:15",249.635832038835
"14:15 - 14:30",249.177764854369
"14:30 - 14:45",250.411690291262
"14:45 - 15:00",251.460957087379
"15:00 - 15:15",251.716211262136
"15:15 - 15:30",251.277605242718
"15:30 - 15:45",250.375545825243
"15:45 - 16:00",248.784313980583
"16:00 - 16:15",247.381072038835
"16:15 - 16:30",244.320359223301
"16:30 - 16:45",241.561065825243
"16:45 - 17:00",238.074831067961
"17:00 - 17:15",232.625533203883
"17:15 - 17:30",225.378879417476
"17:30 - 17:45",216.612593786408
"17:45 - 18:00",207.743643883495
"18:00 - 18:15",199.824021747573
"18:15 - 18:30",192.959112815534
"18:30 - 18:45",188.266681359223
"18:45 - 19:00",185.466954563107
"19:00 - 19:15",183.407297864078
"19:15 - 19:30",181.005301747573
"19:30 - 19:45",178.850110679612
"19:45 - 20:00",175.621589320388
"20:00 - 20:15",171.176776504854
"20:15 - 20:30",167.765347378641
"20:30 - 20:45",165.147370679612
"20:45 - 21:00",162.651653398058
"21:00 - 21:15",159.843198640777
"21:15 - 21:30",157.902590097087
"21:30 - 21:45",156.721449126214
"21:45 - 22:00",155.820161359223
"22:00 - 22:15",154.504197087379
"22:15 - 22:30",153.492891067961
"22:30 - 22:45",152.853947378641
"22:45 - 23:00",151.772079417476
"23:00 - 23:15",149.849797864078
"23:15 - 23:30",148.123027378641
"23:30 - 23:45",146.039154757282
"23:45 - 24:00",143.98193961165
"TOTAL IN Mus",4.30511909208738
