"","Average Energy Supply in mWs in fall from NDPL"
"00:00 - 00:15",631.068709836066
"00:15 - 00:30",619.271150928962
"00:30 - 00:45",609.157678797814
"00:45 - 01:00",598.849496830601
"01:00 - 01:15",587.321695956284
"01:15 - 01:30",578.772113770492
"01:30 - 01:45",573.246493333333
"01:45 - 02:00",567.610930710382
"02:00 - 02:15",562.070202185792
"02:15 - 02:30",556.405873442623
"02:30 - 02:45",551.924104918033
"02:45 - 03:00",546.230764043716
"03:00 - 03:15",540.237853333333
"03:15 - 03:30",536.713754644809
"03:30 - 03:45",534.025213224044
"03:45 - 04:00",532.898964371585
"04:00 - 04:15",533.277196502732
"04:15 - 04:30",534.972124043716
"04:30 - 04:45",538.261441420765
"04:45 - 05:00",543.080043060109
"05:00 - 05:15",552.636534863388
"05:15 - 05:30",565.589249836066
"05:30 - 05:45",581.877115409836
"05:45 - 06:00",600.533083278688
"06:00 - 06:15",623.240810819672
"06:15 - 06:30",645.443335081967
"06:30 - 06:45",662.588872240437
"06:45 - 07:00",673.755047431694
"07:00 - 07:15",681.88268
"07:15 - 07:30",688.976517595628
"07:30 - 07:45",694.022306010929
"07:45 - 08:00",697.576562513661
"08:00 - 08:15",701.951198907104
"08:15 - 08:30",706.090224043716
"08:30 - 08:45",709.070808961749
"08:45 - 09:00",712.79241136612
"09:00 - 09:15",722.352913333333
"09:15 - 09:30",748.50482284153
"09:30 - 09:45",778.058973005464
"09:45 - 10:00",800.531868196721
"10:00 - 10:15",815.483601530055
"10:15 - 10:30",826.03576852459
"10:30 - 10:45",834.681927978142
"10:45 - 11:00",838.527587759563
"11:00 - 11:15",837.90489704918
"11:15 - 11:30",837.130209398907
"11:30 - 11:45",835.020655628415
"11:45 - 12:00",833.214104590164
"12:00 - 12:15",830.710948743169
"12:15 - 12:30",827.973824699454
"12:30 - 12:45",821.384327868852
"12:45 - 13:00",806.740674098361
"13:00 - 13:15",762.285869289617
"13:15 - 13:30",738.810751803279
"13:30 - 13:45",747.793912349727
"13:45 - 14:00",765.544297377049
"14:00 - 14:15",774.606197595628
"14:15 - 14:30",783.490106448087
"14:30 - 14:45",789.859601967213
"14:45 - 15:00",790.919134644809
"15:00 - 15:15",789.066966229508
"15:15 - 15:30",784.78333431694
"15:30 - 15:45",783.478799016393
"15:45 - 16:00",780.398297595628
"16:00 - 16:15",779.146657377049
"16:15 - 16:30",778.26851420765
"16:30 - 16:45",779.471136612022
"16:45 - 17:00",782.157760655738
"17:00 - 17:15",790.180851912568
"17:15 - 17:30",800.456749945355
"17:30 - 17:45",816.022696612022
"17:45 - 18:00",839.275238251366
"18:00 - 18:15",862.973865245902
"18:15 - 18:30",881.141458688524
"18:30 - 18:45",890.823802295082
"18:45 - 19:00",893.675329398907
"19:00 - 19:15",889.428766775956
"19:15 - 19:30",882.473619672131
"19:30 - 19:45",872.409533442623
"19:45 - 20:00",859.323763060109
"20:00 - 20:15",840.580136939891
"20:15 - 20:30",824.295490601093
"20:30 - 20:45",804.877469617486
"20:45 - 21:00",782.996791803279
"21:00 - 21:15",755.103821420765
"21:15 - 21:30",744.147898797814
"21:30 - 21:45",739.042389726776
"21:45 - 22:00",734.702084699454
"22:00 - 22:15",724.388144371585
"22:15 - 22:30",716.139744590164
"22:30 - 22:45",707.373496502732
"22:45 - 23:00",696.406260655738
"23:00 - 23:15",680.378896065574
"23:15 - 23:30",666.294994754098
"23:30 - 23:45",653.408146120219
"23:45 - 24:00",640.305150819672
"TOTAL IN Mus",17.2915968998087
