"","Average Energy Supply in mWs in summer from NDPL"
"00:00 - 00:15",1010.51273022649
"00:15 - 00:30",1000.39900129445
"00:30 - 00:45",988.364796537172
"00:45 - 01:00",976.677003236201
"01:00 - 01:15",962.486077216783
"01:15 - 01:30",950.888668964356
"01:30 - 01:45",940.683992071152
"01:45 - 02:00",930.936010517754
"02:00 - 02:15",920.28071809057
"02:15 - 02:30",910.375701197366
"02:30 - 02:45",901.143871974065
"02:45 - 03:00",890.497508867268
"03:00 - 03:15",878.728490809016
"03:15 - 03:30",868.430128964356
"03:30 - 03:45",859.823084692511
"03:45 - 04:00",848.858932556589
"04:00 - 04:15",839.280413042026
"04:15 - 04:30",830.757948381832
"04:30 - 04:45",822.853874595424
"04:45 - 05:00",814.728362944938
"05:00 - 05:15",809.394625177948
"05:15 - 05:30",801.015822459501
"05:30 - 05:45",794.453717508045
"05:45 - 06:00",789.187264692511
"06:00 - 06:15",788.59918362455
"06:15 - 06:30",788.261154304162
"06:30 - 06:45",786.744204304162
"06:45 - 07:00",783.733947993482
"07:00 - 07:15",780.899342071152
"07:15 - 07:30",780.38753954688
"07:30 - 07:45",780.721286634259
"07:45 - 08:00",782.141334304162
"08:00 - 08:15",785.804141585715
"08:15 - 08:30",788.623628673094
"08:30 - 08:45",794.107444789599
"08:45 - 09:00",801.852225177948
"09:00 - 09:15",819.242575372123
"09:15 - 09:30",855.302749741055
"09:30 - 09:45",896.431442362414
"09:45 - 10:00",928.558280323579
"10:00 - 10:15",953.616272459502
"10:15 - 10:30",973.45663139154
"10:30 - 10:45",988.852595275036
"10:45 - 11:00",999.148723915812
"11:00 - 11:15",1006.898946343
"11:15 - 11:30",1015.01348517795
"11:30 - 11:45",1022.87632847892
"11:45 - 12:00",1029.89895022649
"12:00 - 12:15",1036.182586343
"12:15 - 12:30",1040.86840372164
"12:30 - 12:45",1045.40847061484
"12:45 - 13:00",1037.3035047896
"13:00 - 13:15",996.98705546921
"13:15 - 13:30",982.558594595424
"13:30 - 13:45",995.8199340129
"13:45 - 14:00",1023.11306867309
"14:00 - 14:15",1042.06686042067
"14:15 - 14:30",1058.51314760513
"14:30 - 14:45",1073.16276983814
"14:45 - 15:00",1079.73235226533
"15:00 - 15:15",1085.02885721678
"15:15 - 15:30",1085.95439061484
"15:30 - 15:45",1086.41147469251
"15:45 - 16:00",1084.2755132362
"16:00 - 16:15",1080.72877488669
"16:15 - 16:30",1073.10939110028
"16:30 - 16:45",1064.40892770222
"16:45 - 17:00",1053.92176449834
"17:00 - 17:15",1041.83751925562
"17:15 - 17:30",1029.32264731387
"17:30 - 17:45",1013.62961906144
"17:45 - 18:00",1001.67710828474
"18:00 - 18:15",989.887697022608
"18:15 - 18:30",983.7704540129
"18:30 - 18:45",984.266077605133
"18:45 - 19:00",990.426150226492
"19:00 - 19:15",1000.91594284785
"19:15 - 19:30",1015.72443867309
"19:30 - 19:45",1025.0135540129
"19:45 - 20:00",1030.56244430416
"20:00 - 20:15",1023.94592517795
"20:15 - 20:30",1018.01909935271
"20:30 - 20:45",1011.14801275076
"20:45 - 21:00",1000.37723032358
"21:00 - 21:15",980.549797119696
"21:15 - 21:30",983.629966634259
"21:30 - 21:45",995.259491585715
"21:45 - 22:00",1009.85937294494
"22:00 - 22:15",1020.88095216824
"22:15 - 22:30",1034.46989789639
"22:30 - 22:45",1043.81519177989
"22:45 - 23:00",1048.36952391581
"23:00 - 23:15",1042.26414488669
"23:15 - 23:30",1040.65446284785
"23:30 - 23:45",1035.88302828474
"23:45 - 24:00",1030.25031779931
"TOTAL IN Mus",22.9309742676203
