"","Average Energy Consumption in MUs in winter from NDMC"
"00:00 - 00:15",101.235935974845
"00:15 - 00:30",98.9537744588105
"00:30 - 00:45",97.0812539923382
"00:45 - 01:00",95.6252831468571
"01:00 - 01:15",94.2954574908805
"01:15 - 01:30",93.2362357999184
"01:30 - 01:45",92.4325015725131
"01:45 - 02:00",91.7212345171195
"02:00 - 02:15",91.2125963830087
"02:15 - 02:30",90.8511704937959
"02:30 - 02:45",90.4976246045831
"02:45 - 03:00",90.2013787736793
"03:00 - 03:15",90.0860455958367
"03:15 - 03:30",89.8881077532711
"03:30 - 03:45",89.7928299690146
"03:45 - 04:00",89.8325285112886
"04:00 - 04:15",90.1287157999184
"04:15 - 04:30",90.3348635550204
"04:30 - 04:45",90.8682587736793
"04:45 - 05:00",91.5800633217843
"05:00 - 05:15",93.1421360914636
"05:15 - 05:30",94.9271469369446
"05:30 - 05:45",97.0483376074985
"05:45 - 06:00",99.6754514267405
"06:00 - 06:15",103.160269852396
"06:15 - 06:30",106.976851776595
"06:30 - 06:45",110.645649094379
"06:45 - 07:00",114.229663671638
"07:00 - 07:15",117.961771566181
"07:15 - 07:30",122.282111974344
"07:30 - 07:45",126.586771682799
"07:45 - 08:00",130.804360953936
"08:00 - 08:15",135.492257957353
"08:15 - 08:30",140.483504254729
"08:30 - 08:45",144.936161514204
"08:45 - 09:00",149.284653525866
"09:00 - 09:15",152.975429502542
"09:15 - 09:30",156.292900406332
"09:30 - 09:45",159.638059706624
"09:45 - 10:00",162.481440464641
"10:00 - 10:15",164.736355916536
"10:15 - 10:30",166.390350318869
"10:30 - 10:45",167.538011636653
"10:45 - 11:00",168.096994143942
"11:00 - 11:15",167.985148313038
"11:15 - 11:30",167.709736199918
"11:30 - 11:45",167.139672876303
"11:45 - 12:00",166.556244771347
"12:00 - 12:15",165.902929109539
"12:15 - 12:30",165.281123861726
"12:30 - 12:45",164.859137855895
"12:45 - 13:00",164.390003861726
"13:00 - 13:15",163.890179605166
"13:15 - 13:30",161.954959663475
"13:30 - 13:45",159.491910100793
"13:45 - 14:00",157.574173541026
"14:00 - 14:15",156.346156164933
"14:15 - 14:30",155.517629401085
"14:30 - 14:45",155.040621455895
"14:45 - 15:00",154.503555216828
"15:00 - 15:15",153.938836033155
"15:15 - 15:30",153.013114167265
"15:30 - 15:45",152.022857374262
"15:45 - 16:00",151.074123146857
"16:00 - 16:15",150.426890727032
"16:15 - 16:30",149.582880581259
"16:30 - 16:45",148.781991601668
"16:45 - 17:00",148.258344721201
"17:00 - 17:15",148.227511718286
"17:15 - 17:30",147.741848044816
"17:30 - 17:45",147.297654342192
"17:45 - 18:00",147.883166178927
"18:00 - 18:15",149.424461222659
"18:15 - 18:30",150.944579823242
"18:30 - 18:45",152.073129677469
"18:45 - 19:00",152.463624487965
"19:00 - 19:15",151.58482658709
"19:15 - 19:30",150.217656441318
"19:30 - 19:45",148.461420173096
"19:45 - 20:00",146.326013059394
"20:00 - 20:15",143.529122330531
"20:15 - 20:30",141.102981339277
"20:30 - 20:45",139.175077549189
"20:45 - 21:00",137.117190435487
"21:00 - 21:15",134.543501922367
"21:15 - 21:30",132.196192417994
"21:30 - 21:45",130.192326878636
"21:45 - 22:00",127.965109269306
"22:00 - 22:15",124.729954983592
"22:15 - 22:30",121.751132009831
"22:30 - 22:45",119.129538190589
"22:45 - 23:00",116.324083496711
"23:00 - 23:15",113.049157782426
"23:15 - 23:30",109.837953584175
"23:30 - 23:45",106.929617840735
"23:45 - 24:00",104.107088977761
"TOTAL IN Mus",3.15780266089696
