"day","hour","value"
1,1,0.783984314163497
2,1,0.806831731935872
3,1,0.808900572320487
4,1,0.789955166358949
5,1,0.805747525974333
6,1,0.803966346743564
7,1,0.77051001586161
1,2,0.737897170201233
2,2,0.75938507462818
3,2,0.761593670012795
4,2,0.742810657512795
5,2,0.75771146039741
6,2,0.763975561935872
7,2,0.727034106050289
1,3,0.698972593220101
2,3,0.728746138474333
3,3,0.729861360589718
4,3,0.711071975205103
5,3,0.726608566551256
6,3,0.733742833666641
7,3,0.697416978503119
1,4,0.662404872276704
2,4,0.698918737512795
3,4,0.698939273666641
4,4,0.682915710589718
5,4,0.698131373666641
6,4,0.704407623474333
7,4,0.669968879635195
1,5,0.650031826805006
2,5,0.685090776551256
3,5,0.684101730782026
4,5,0.670103386935872
5,5,0.68518619289741
6,5,0.689887774243564
7,5,0.656674708125761
1,6,0.670753983786138
2,6,0.706271944820487
3,6,0.702860397705103
4,6,0.687769407512795
5,6,0.707030063858949
6,6,0.702609945782026
7,6,0.661735242088025
1,7,0.735741957748402
2,7,0.766338838474333
3,7,0.768661101358949
4,7,0.74742935789741
5,7,0.776063111743564
6,7,0.75115344039741
7,7,0.690951339635195
1,8,0.775510496616327
2,8,0.795155149435872
3,8,0.802045846551256
4,8,0.777871456358949
5,8,0.811105470205103
6,8,0.791481556935872
7,8,0.739676923031421
1,9,0.811811462276704
2,9,0.82674327039741
3,9,0.827609638282026
4,9,0.809034730589718
5,9,0.846305110589718
6,9,0.819538320012795
7,9,0.795806117371044
1,10,0.895683126427648
2,10,0.905929385589718
3,10,0.891749147705102
4,10,0.890370330782026
5,10,0.928767400782026
6,10,0.868817701551256
7,10,0.853014288691799
1,11,0.987807026993685
2,11,0.993962841166641
3,11,0.962038214435872
4,11,0.980688212128179
5,11,1.01809150405126
6,11,0.933110253858949
7,11,0.924478274352176
1,12,1.0044929932201
2,12,1.01438431962818
3,12,0.969292550974333
4,12,0.996893161166641
5,12,1.03339065328203
6,12,0.934442465782026
7,12,0.945957883786138
1,13,0.994229211333308
2,13,1.00626956501279
3,13,0.959035401358949
4,13,0.994216372320487
5,13,1.02243780674356
6,13,0.922549661166641
7,13,0.940469462276704
1,14,0.918586912465384
2,14,0.914144138474333
3,14,0.896977065782026
4,14,0.91910750289741
5,14,0.940689532705103
6,14,0.855289034243564
7,14,0.874852078503119
1,15,0.968165117559723
2,15,0.962988218858949
3,15,0.937543341358949
4,15,0.975279006935872
5,15,0.993679790012795
6,15,0.882750281166641
7,15,0.903601055484252
1,16,0.978640864729535
2,16,0.974724920589718
3,16,0.944829634628179
4,16,0.98752283539741
5,16,1.00915265712818
6,16,0.891517666551256
7,16,0.902281727937082
1,17,0.969339476616327
2,17,0.965962515205103
3,17,0.927892889435872
4,17,0.977511071551256
5,17,0.991124983089718
6,17,0.884261661166641
7,17,0.890115996616327
1,18,0.965969247559723
2,18,0.956453621743564
3,18,0.925013676551256
4,18,0.973742633858949
5,18,0.98169309789741
6,18,0.877145249243564
7,18,0.883031165295572
1,19,0.981750146427648
2,19,0.987314968474333
3,19,0.94727209789741
4,19,0.992814134628179
5,19,0.991446346935872
6,19,0.899764516166641
7,19,0.900814156616327
1,20,0.988465959257836
2,20,0.998256983282026
3,20,0.959889368858949
4,20,1.00132965808972
5,20,0.999252097320487
6,20,0.920660745205102
7,20,0.919435493597459
1,21,0.952410765295572
2,21,0.959826510974333
3,21,0.927100587128179
4,21,0.959648517320487
5,21,0.954911938474333
6,21,0.895318901935872
7,21,0.89963236586161
1,22,0.900619583220101
2,22,0.905973945205103
3,22,0.884462989243564
4,22,0.903665274435872
5,22,0.902122503282026
6,22,0.850927103089718
7,22,0.86242900095595
1,23,0.899404119257836
2,23,0.905443589051256
3,23,0.885553125974333
4,23,0.901792496935872
5,23,0.89825381539741
6,23,0.845307482705103
7,23,0.864720105295572
1,24,0.856471292276704
2,24,0.864504149051256
3,24,0.847520006743564
4,24,0.860398176358949
5,24,0.856228622320487
6,24,0.816372028089718
7,24,0.834262765672931
