"city","intercept","heating","cooling","threshold.t","sig.heating","sig.cooling"
"BAWANA",54.9753082093518,2.49385390175474,-3.60273745550893,31.3112318059772,8.25458237033132e-130,8.75948603353813e-09
"GAZIPUR",124.388067217324,2.34123158762756,-3.79596210600861,28.0397793906351,3.39421724494049e-08,0.000902704437459209
"GEETA COLONY",67.5013561465295,0.372501466911242,2.23580530801773,20.8684460623157,0.231499581026378,1.64875683206028e-09
"GOPALPUR",122.587285818682,-1.21841072403662,10.7109727594773,23.5093327131165,0.18730988205676,5.19197573993022e-15
"KANJHAWALA",54.415502505874,-1.07942023212695,4.24570547760718,17.0894136707253,0.0660205575872712,3.67492785774816e-11
"KASHMIRI GATE",28.4556613077418,-3.72744465112446,6.98373248859465,16.2538666134888,0.000979058628488173,2.8990285962144e-09
"LODHI ROAD",76.5937204272656,-0.63657440724999,5.41320107443172,22.3532075971716,0.467167308380215,5.73075625591379e-08
"MEHRAULI",154.542198748669,-1.6230432720253,4.19207909673576,23.0043628254797,0.0661076429918716,0.000244997007705423
"NAJAFGARH",129.203296883452,NA,5.89241511903892,NA,NA,2.20929486856798e-27
"NARAINA",78.098128214801,-0.73733248102972,3.40749310877369,24.0903060175933,0.033507447308728,1.24310671031514e-13
"NARELA",141.381165899282,-0.743589728159731,4.21552724899301,25.003888238482,0.176932862187937,1.97034094945765e-07
"OKHLA",208.354908853474,-2.65742457029404,12.2315870835222,22.5691380759253,0.0614226667645702,7.33907851944177e-14
"PAPPANKALAN-1",216.322071224993,-2.88286259132285,15.4092169187351,21.6366220282795,0.0574636601428486,9.69390783636856e-16
"PAPPANKALAN-2",55.6817286523366,NA,1.61444901796576,NA,NA,7.80608360517852e-09
"PARK STREET",197.228698946052,4.09022306637045,-4.20828866745368,30.9093704081338,1.7762127451301e-17,0.00809231848663838
"PATPARGANJ",154.765654453748,NA,3.21368095505521,NA,NA,1.54357088063364e-12
"ROHINI",173.356855579297,-2.61909774409312,12.2248753808414,19.5496566371657,0.224094681507619,1.46375811643348e-07
"SARITA VIHAR",90.0099658268103,-0.653516752423266,3.56761041733012,20.5099989302174,0.280216697485836,8.6572809658469e-08
"SHALIMARBAGH",65.8705705915073,NA,1.27289852820868,NA,NA,1.24373770323369e-14
"SOW",112.830751183091,NA,3.5991624861135,NA,NA,9.34317741929347e-25
"SUBZI MANDI",17.8092648284345,-8.05064900511773,12.1021332164883,18.3008335872062,0.00103209124244927,1.22963514349346e-06
"VASANT KUNJ",32.8946482188261,0.889672748964916,5.27130501290626,17.6639459623916,0.390048889963941,1.63598582020195e-06
